Date,TemperatureData
2061-01-01,35.9926782899704
2061-01-02,36.77114142193805
2061-01-03,36.187273950858746
2061-01-04,35.86647532308424
2061-01-05,35.58028665529067
2061-01-06,35.04618271165214
2061-01-07,35.046222741738916
2061-01-08,35.37729743924264
2061-01-09,34.84293724899012
2061-01-10,35.04847393735529
2061-01-11,34.44165799522413
2061-01-12,33.94533587883369
2061-01-13,34.11089254255837
2061-01-14,34.318259842700556
2061-01-15,34.15289819740294
2061-01-16,34.21057699781045
2061-01-17,34.64936549113299
2061-01-18,34.81617241545375
2061-01-19,35.89108976862444
2061-01-20,36.58452791619873
2061-01-21,36.33736119462756
2061-01-22,35.2771630936426
2061-01-23,35.985767716322435
2061-01-24,35.935389479606926
2061-01-25,36.256785882523246
2061-01-26,36.24303933951078
2061-01-27,36.68064039774909
2061-01-28,36.64526996941383
2061-01-29,36.379182753597284
2061-01-30,36.891310860623555
2061-01-31,36.29134269174511
2061-02-01,35.097395653380644
2061-02-02,35.44001529227556
2061-02-03,36.205679285172494
2061-02-04,36.016403385653035
2061-02-05,36.220428206177246
2061-02-06,36.17784404844987
2061-02-07,36.29433079241895
2061-02-08,36.910627498735124
2061-02-09,36.95046328810206
2061-02-10,36.89573087295477
2061-02-11,36.98003641935021
2061-02-12,36.808434045161874
2061-02-13,37.16578031774473
2061-02-14,36.65025844631377
2061-02-15,36.05055690968375
2061-02-16,35.97425727998885
2061-02-17,36.052105508069445
2061-02-18,35.91836269192491
2061-02-19,36.09796235156597
2061-02-20,35.654721304876105
2061-02-21,35.97174949630786
2061-02-22,35.701991645845354
2061-02-23,36.459464896768445
2061-02-24,36.734449822323185
2061-02-25,36.101735159537796
2061-02-26,36.62529399723611
2061-02-27,36.44001494183277
2061-02-28,37.271879288542095
2061-03-01,36.25890368588732
2061-03-02,36.381597672813
2061-03-03,36.585264783889684
2061-03-04,36.6057325520332
2061-03-05,36.88910961314236
2061-03-06,35.89062354216719
2061-03-07,34.387706115488385
2061-03-08,33.92874615503013
2061-03-09,34.638741759601245
2061-03-10,34.01448449620945
2061-03-11,35.07373275667322
2061-03-12,35.376036349779355
2061-03-13,35.86905930487252
2061-03-14,35.85143857014252
2061-03-15,36.56766708281457
2061-03-16,36.86519181061307
2061-03-17,37.14537786043852
2061-03-18,37.37865097233337
2061-03-19,37.74440233176293
2061-03-20,37.62961456966267
2061-03-21,37.245764986738095
2061-03-22,37.34886533216122
2061-03-23,37.35981299839453
2061-03-24,37.46449344042943
2061-03-25,37.38769833218076
2061-03-26,36.9334283551004
2061-03-27,37.284811415247674
2061-03-28,37.12024587035506
2061-03-29,36.579674935850605
2061-03-30,37.188747700811575
2061-03-31,37.20945437684294
2061-04-01,37.69861015836815
2061-04-02,37.78440287632003
2061-04-03,37.98035512316034
2061-04-04,37.718606764187975
2061-04-05,37.863932092793625
2061-04-06,38.24980899784205
2061-04-07,38.67741460461982
2061-04-08,38.645491425255635
2061-04-09,38.421445441165986
2061-04-10,38.45547896407388
2061-04-11,37.70378818228537
2061-04-12,37.437034783467084
2061-04-13,37.888713744618634
2061-04-14,37.78929228917612
2061-04-15,38.02973427460122
2061-04-16,38.21881128054563
